# threshold=0.001
# window=5
x0,x1,x2,x3,x4,x5,x6,x7,y,convergence_iter
0.604994452514612,0.29221501955932727,0.9084527476191498,0.35550624198849134,0.2016687192685087,0.575338005282615,0.3103109513417007,0.7342813769904157,7.398721101163708,0
0.1780069588998261,0.5662226539934582,0.994861844649882,0.21032500605287419,0.3201526568994505,0.7079087917386544,0.635384488933402,0.1071316266051805,7.005227361900734,0
0.009076976680729043,0.8116261525080638,0.5205203597642096,0.07568667521428252,0.2651118251498523,0.09165168939924984,0.5924151454340054,0.36732026219027936,8.45948161622808,0
0.5060281642263985,0.6537301230139242,0.3634107791850698,0.17798104853190577,0.09372830436573298,0.1974253305870869,0.7558269002800702,0.29247233865659084,8.284007811285548,0
0.35990926424958747,0.24907567901155137,0.4959971701962457,0.709214980573863,0.11498719465194007,0.28920692081786503,0.5572951508023158,0.593881726256155,8.606116791392116,0
0.7788183442411031,0.0034194994840646142,0.3379831296954995,0.5195277781785284,0.8209069931953403,0.5372466890767038,0.5513470979709983,0.6600320863046285,8.541747923679363,0
0.9086493218407411,0.06224969981914241,0.23825954562267293,0.766603545009941,0.13233596235427003,0.9902438143772585,0.6880678220467985,0.7424959411204977,7.327434575740623,0
0.586371443677204,0.8807357258320967,0.7450207519799246,0.5460348489242288,0.009648877991745852,0.748991763293703,0.230907069700228,0.09791562279072463,7.299872046566419,0
0.7611373255704504,0.854672389975273,0.3821243305126353,0.3373519833714853,0.6897083204676573,0.309853052128114,0.6313796832481015,0.04195606945702324,7.957874742347002,0
0.9849332023684456,0.699506257510517,0.9988854968558359,0.1801484564734902,0.5801431474590741,0.23108719071812645,0.49082693604016725,0.3136827199071327,5.5921933895401965,0
0.1120713135258371,0.4377356632709851,0.5965987845349814,0.5927756332692748,0.22698177026421584,0.410104518579152,0.9212375769715897,0.6747527590271146,7.854540990501387,0
0.7918875083599708,0.5761913364959048,0.694528358625625,0.2834237819617862,0.13675546079122003,0.2791618612905221,0.8427672639356422,0.6253279221470336,6.791985783133633,0
