# threshold=0.001
# window=5
x0,x1,y,convergence_iter
0.31940388883889725,0.7629593742689353,1.3226770395454077e-79,0
0.5743292145098291,0.879898104984359,1.0330782375230975e-46,0
0.7310236309563586,0.7329998764152272,7.710875114502849e-16,0
0.8403534169072556,0.26473161399676703,3.341771007676023e-124,0
0.6501140597987644,0.6815263520602101,-0.0036060626443634764,0
0.41043713662518566,0.14755429902998185,-2.1592490357331095e-54,0
0.31269115679477755,0.07872277794971883,-2.0890932702320842e-91,0
0.6834181688515067,0.8610574643936101,2.5350011535584046e-40,0
0.08250725182080587,0.403487506426324,3.6067711901420254e-81,0
0.8838898288181171,0.5822539743824439,6.229856468168659e-48,0
0.202514,0.586723,-3.828741202827685e-53,1
0.489595,0.116877,-1.7334156414975705e-68,2
0.020026,0.996624,0.0,3
0.956717,0.004359,5.025e-321,4
0.985825,0.98681,7.544962382682488e-180,5
0.044772,0.931757,-1.9408268030761353e-282,6
0.951495,0.745322,-8.619992148759635e-84,7
0.549305,0.180901,-1.0347496107335308e-52,8
0.15,0.85,2.8556640528793443e-181,9
0.6421604142787601,0.5157692896832724,-0.0001274806269223529,10
0.7618073194317035,0.807487728667723,-6.0919446264976786e-05,11
0.5892132537932822,0.35469786815449145,-9.314582714887378e-05,12
0.6656985127132466,0.45164751750940507,-0.00010495550580710769,13
0.87117128541728,0.5482778813202452,-8.670192638004576e-05,14
0.7465882865954938,0.9595134904657456,-2.191734729861398e-05,15
0.3558956145607368,0.486142006429513,-0.00012420502915629536,16
0.5220084038876267,0.9065041910298725,-1.5289769408718522e-05,17
0.5442706757407302,0.6176372618565835,-0.0008746515539636613,18
0.7515135005154938,0.7850721029940383,-3.971612531653593e-05,19
0.7633022971861094,0.8288789110537845,-3.7948875175873825e-05,20
0.7386920930742656,0.5669861936198726,-4.299722692677248e-05,21
0.6505101035883829,0.9455582922972131,-1.393359660071988e-05,22
1.0,0.972627947330903,-1.4000845297523046e-05,23
0.7786084498562449,0.27506749217456705,-1.8626997808477086e-05,24
0.7335384078096723,0.4381348011428988,-7.897441858092993e-05,25
0.6997074851206901,0.5314057512061758,-0.00010876825348735293,26
0.905719342004312,0.4722861125842693,-0.00011720673226554696,27
0.6547496250005987,0.8934227078140557,-9.451101086929302e-06,28
0.40242745265418817,0.42046631432782,-4.0704867331362786e-05,29
0.670589981848571,0.9182560503277419,-9.450194519651322e-06,30
0.6532003788784984,0.7730398689055096,-1.8927097952975148e-05,31
0.5911764849915834,0.4997201974897167,-0.00012584764987592738,32
0.6561586553908383,0.8396919519465408,-1.9184414971370713e-05,33
0.7127177089569594,0.7963916002961262,-5.092840198838641e-05,34
0.6478190734687,0.8697248865085847,-5.307532149047777e-07,35
0.9517582295157291,0.32588955195059055,-7.042126917727057e-05,36
1.0,0.38335552946706314,-4.0450087590674345e-05,37
0.6915612380321817,0.31365645259873526,-5.9405208320038104e-05,38
1.0,0.3730326147096678,-5.98772993553163e-05,39
