# threshold=0.001
# window=5
x0,x1,x2,y,convergence_iter
0.1715252068810621,0.3439168702758373,0.2487372010692387,-0.11212220046256897,0
0.2421144606124933,0.6440742697791076,0.27243280919945523,-0.08796286022736445,0
0.5349057202251034,0.39850091536763166,0.17338872894567725,-0.111414654295324,0
0.49258141463713434,0.6115931882759961,0.3401763860035727,-0.034835313350078584,0
0.13462166632061112,0.2199172404897456,0.45820621964922703,-0.04800758439218157,0
0.3455232705197697,0.9413598305723256,0.2693634790694064,-0.11062091307282658,0
0.151836632374168,0.43999061896644376,0.990881866558951,-0.3989255131463011,0
0.6455028351793182,0.3971429395797703,0.9197713377032198,-0.11386851478863991,0
0.7469119451655177,0.28419630922573424,0.22629985488752546,-0.13146060864136055,0
0.17047699396968063,0.697032400686134,0.14916943370830027,-0.09418956091057398,0
0.2205493370831766,0.2978252442230862,0.34355534441672586,-0.04694740582651916,0
0.6660136587669346,0.6719851513369297,0.2462952966705313,-0.10596503573558178,0
0.046808949722497384,0.2313602407834674,0.7706175921643,-0.11804825644688696,0
0.6000972824185008,0.7251357252228826,0.06608864149534865,-0.036377828071632486,0
0.9659948489488087,0.8611196897300882,0.5668291312870885,-0.05675837155397648,0
0.511508,0.325146,0.379547,-0.036355304218460616,0
0.624245,0.12209,0.649638,-0.1325982373185318,0
0.103448,0.310345,0.655172,-0.10496959234635765,0
0.961652,0.050285,0.098238,-0.12059359269141365,0
0.997172,0.018252,0.743186,-0.19369732460525266,0
0.103448,0.103448,0.103448,-0.09900479519096553,0
0.021216,0.186651,0.953626,-0.25818607414915357,0
0.619828,0.685527,0.375978,-0.019024187137242517,0
0.41036,0.735796,0.39901,-0.017420547095341146,0
0.661462,0.748041,0.43431,-0.020454333228941583,0
0.621312,0.709863,0.405131,-0.03893229854798407,0
0.394218,0.74901,0.399618,-0.0167277802659904,0
0.408216431315991,0.6927355476350812,0.5219055989808413,-0.0437865217551161,0
0.3557644033796184,0.8670270566246036,0.43549809363878006,-0.030824087743919204,0
0.4572432128108803,0.5765407487659101,0.38276293498536607,-0.02573212597829655,0
0.27665465973623543,0.8107721313557534,0.3831973682469502,-0.024504477233357802,0
0.45244449526097563,0.7276866536153832,0.4836532769989629,-0.03329569097763452,0
0.27799878385775173,0.6382121294524179,0.41521983441519217,-0.02480067976987721,0
0.4758580059135268,0.7762684570549223,0.396219431894927,-0.02077115985200284,0
0.24070017463407306,0.7622309651916326,0.4191477013437357,-0.021382901769189777,0
0.4107216713523634,0.5992704264659428,0.4157255684200515,-0.024551672094863974,0
0.21773697342603365,0.7902759369773897,0.4017086438831591,-0.02208709747354476,0
